Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2019130119-20826,MONMOUTH,ALLENHURST BORO,07/23/2019,TU,1227,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,02,2,SPIER AVE **,,,,13011013__,.52,07,,01,04,02,02,01,05,05,01,100,FE,E,OCEAN AVE,,,,25,25,26,,,N,,114
2019130119-21874,MONMOUTH,ALLENHURST BORO,07/31/2019,WE,1416,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,CEDAR AVE **,W,,,13011011__,.66,07,,01,05,02,02,01,02,05,01,1000,FE,E,LAKE DR,,,,25,25,42,,,N,SCRATCH MARKS ON THE SUPPORT BEAM OF THE BRIDGE,108
2019130119-22933,MONMOUTH,ALLENHURST BORO,08/09/2019,FR,1043,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,14,1,ELBERON AVE **,,,,13011004__,.00,07,,01,04,02,01,01,01,04,01,,AT,,MAIN ST,,,,25,25,21,40.235009,74.006879,N,,120
2019130119-22984,MONMOUTH,ALLENHURST BORO,08/09/2019,FR,1703,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ELBERON AVE **,,,,,,07,,01,04,02,01,01,01,05,01,50,FE,W,OCEAN PLACE,,,,25,25,26,,,N,,116
2019130119-24244,MONMOUTH,ALLENHURST BORO,08/18/2019,SU,2047,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,2,CORLIES AVE,,,,13011016__,.30,07,,01,04,02,01,07,01,05,01,,AT,,PAGE AVE,,,,25,25,26,,,N,,524
2019130119-24793,MONMOUTH,ALLENHURST BORO,08/22/2019,TH,2209,01,ALLENHURST PD,,0,3,0,0,I,I,N,N,03,2,NJ 71,N,71,,00000071__,9.79,02,,02,04,02,02,06,02,05,01,,AT,,CORLIES AVE,,,,35,25,26,40.236174,74.000519,N,FRONT LAWN OF BORO HALL,105
2019130119-25412,MONMOUTH,ALLENHURST BORO,08/27/2019,TU,1359,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,3,CORLIES AVE / OCEAN PL **,W,,,13011009__,.07,07,,01,04,02,01,01,05,05,01,150,FE,S,OCEAN PL,,,,25,25,26,,,N,,108
2019130119-25732,MONMOUTH,ALLENHURST BORO,08/29/2019,TH,1408,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,OCEAN PL **,,,,,,07,,01,04,02,01,01,01,05,01,20,FE,W,OCEAN PLACE,,,,25,25,26,,,N,,116
2019130119-26288,MONMOUTH,ALLENHURST BORO,09/01/2019,SU,1808,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,S,71,,00000071__,9.85,02,,01,04,02,01,01,01,05,01,,AT,,SPIER AVE,,,,35,25,,40.237117,74.000714,N,,526
2019130119-26752,MONMOUTH,ALLENHURST BORO,09/04/2019,WE,1623,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,CORLIES AVE / OCEAN PL **,,,,13011009__,.27,07,,01,04,02,01,01,01,05,01,20,FE,E,CEDAR AVE,,,,25,25,28,40.237141,73.994959,N,,116
2019130119-28711,MONMOUTH,ALLENHURST BORO,09/22/2019,SU,2108,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,,,,13031089__,.26,07,,01,04,02,01,06,01,04,01,98,FE,S,ALLEN AVE,,,,25,25,26,40.235949,74.006521,N,,
2019130119-33293,MONMOUTH,ALLENHURST BORO,11/03/2019,SU,1523,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,S,71,,00000071__,9.79,02,,01,04,02,01,01,01,05,01,,AT,,CORLIES AVE,,,,35,25,26,40.236152,74.000557,N,,
2019130119-33954,MONMOUTH,ALLENHURST BORO,11/09/2019,SA,1758,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,S,,,13031089__,.31,07,,01,04,02,01,06,01,05,01,550,FE,N,ELBERON AVE,,,,25,25,26,40.235028,74.006859,N,,109
2019130119BC06169,MONMOUTH,ALLENHURST BORO,09/24/2019,TU,1118,99,BROOKDALE COLLEGE PD,,0,0,0,0,P,B,N,N,06,2,PARKING LOT #1,,,,,,06,,01,04,02,01,01,01,,,,,,,,,,15,,26,,,N,,56161
2019130119BC06172,MONMOUTH,ALLENHURST BORO,09/24/2019,TU,1213,99,BROOKDALE COLLEGE PD,,0,0,0,0,P,B,N,N,01,2,CAMPUS DR,S,,,,,06,,01,04,02,01,01,01,04,,,,,,,,,25,,26,,,N,,56155
2019130119BC06242,MONMOUTH,ALLENHURST BORO,09/26/2019,TH,0922,99,BROOKDALE COLLEGE PD,,0,0,0,0,P,B,N,N,08,2,PARKING LOT #5,W,,,,,06,,01,04,02,01,01,01,05,,,,,,,,,15,,26,,,N,,56155
2019130219AT00013,MONMOUTH,ALLENTOWN BORO,01/04/2019,FR,1618,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 524,N,524,,00000524__,6.21,05,,02,04,02,01,01,01,04,01,,AT,,CR 28 / MAIN ST,,,,25,25,,,,N,,82030
2019130219AT00068,MONMOUTH,ALLENTOWN BORO,01/18/2019,FR,1538,01,ALLENTOWN BORO PD,,0,3,0,0,I,I,Y,N,03,2,ROUTE 524,E,524,,00000524__,6.81,05,,01,04,02,01,01,01,04,01,,AT,,ROUTE 526 / CHURCH ST,,,,25,25,26,40.175220,74.588550,N,ALLENTOWN BOROUGH STREET LAMP  COUNTY ROAD SIGN DIRECTIONAL SIGN  5 S. MAIN ST.,82030
2019130219AT00134,MONMOUTH,ALLENTOWN BORO,02/02/2019,SA,1959,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,08,2,ROUTE 526,S,526,,00000526__,10.50,05,,01,04,02,01,06,01,04,01,25,FE,W,ROUTE 524 / MAIN ST,,,,25,25,26,,,N,,82029
2019130219AT00155,MONMOUTH,ALLENTOWN BORO,02/05/2019,TU,1605,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,11,2,ROUTE 526,,526,,00000526__,10.24,05,,01,04,02,01,01,01,04,01,,AT,,JOHNSON DR,,,,25,,50,40.180270,74.587920,N,STREET SIGN ( CHURCH ST / JOHNSON DR )  GARDEN PLANTER BOX ( 2 JOHNSON DR ),82006
2019130219AT00169,MONMOUTH,ALLENTOWN BORO,02/07/2019,TH,0711,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 524,S,524,,00000524__,7.26,05,,01,04,02,02,01,01,05,01,,,,,,,,25,,,40.177550,74.584990,Y,,82012
2019130219AT00299,MONMOUTH,ALLENTOWN BORO,03/02/2019,SA,1310,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,08,2,ROUTE 526,,526,,00000526__,10.50,05,,01,04,02,01,01,01,04,,,,,,,,,25,,26,40.178350,74.584760,N,,82030
2019130219AT00365,MONMOUTH,ALLENTOWN BORO,03/18/2019,MO,0937,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 524,N,524,,00000524__,6.52,05,,01,05,02,01,01,01,05,,,,,ROUTE 539 / HIGH ST,,,,25,,26,40.175220,74.588550,N,,82012
2019130219AT00519,MONMOUTH,ALLENTOWN BORO,04/06/2019,SA,1815,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,08,2,ROUTE 526,W,526,,00000526__,10.50,05,,01,04,02,01,01,01,04,,,,,,,,,25,,26,,,N,,82031
2019130219AT00548,MONMOUTH,ALLENTOWN BORO,04/11/2019,TH,1820,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 524,,524,,00000524__,6.52,05,,01,04,02,01,01,01,04,,,AT,,ROUTE 539 / HIGH ST,,,,30,30,26,,,N,,82029
2019130219AT00667,MONMOUTH,ALLENTOWN BORO,05/06/2019,MO,0710,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 524,N,524,,00000524__,6.81,05,,01,04,02,02,01,01,05,01,,AT,,ROUTE 526 / CHURCH ST,,,,25,25,26,40.177780,74.584300,N,,82012
2019130219AT00668,MONMOUTH,ALLENTOWN BORO,05/06/2019,MO,0817,01,ALLENTOWN BORO PD,,0,1,0,0,I,I,N,N,01,2,ROUTE 524,,524,,00000524__,6.21,05,,01,04,02,02,01,01,05,01,,AT,,CR 28 / MAIN ST,,,,35,,,40.177990,74.583990,N,,82012
2019130219AT00776,MONMOUTH,ALLENTOWN BORO,05/23/2019,TH,2208,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,3,ROUTE 524,N,524,,00000524__,6.52,05,,01,04,02,01,06,01,04,,,AT,,ROUTE 539 / HIGH ST,,,,30,30,26,,,N,,
2019130219AT00941,MONMOUTH,ALLENTOWN BORO,06/18/2019,TU,1720,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 526,W,526,,00000526__,10.50,05,,01,04,02,02,01,02,04,,,AT,,ROUTE 524 / MAIN ST,,,,25,25,26,40.177780,74.584300,N,,82030
2019130219AT00967,MONMOUTH,ALLENTOWN BORO,06/27/2019,TH,2327,01,ALLENTOWN BORO PD,,0,1,0,0,I,I,N,N,11,1,MECHANIC ST / PEARL ST **,,,,,,07,,01,04,02,01,03,01,04,01,,AT,,CHURCH STREET,,,,25,25,69,,,N,MINOR DAMAGE TO THE EXTERIOR OF 56 CHURCH STREET,82029
2019130219AT01164,MONMOUTH,ALLENTOWN BORO,07/26/2019,FR,1618,01,ALLENTOWN BORO PD,,0,1,0,0,I,B,Y,N,01,4,ROUTE 526,E,526,,00000526__,10.18,05,,01,04,02,01,01,01,04,,50,FE,W,GORDON ST,,,,25,,26,40.180690,74.588950,N,,82006
2019130219AT01243,MONMOUTH,ALLENTOWN BORO,08/08/2019,TH,1332,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,B,N,N,06,2,POE LN **,E,,,,,07,,01,04,02,01,01,01,05,01,,,,,,,,25,,26,,,N,,82031
2019130219AT01247,MONMOUTH,ALLENTOWN BORO,08/08/2019,TH,2056,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,B,Y,N,06,2,ROUTE 524,N,524,,00000524__,6.94,05,,01,04,02,01,06,01,04,,200,FE,S,BROAD ST,,,,25,25,26,,,N,THREE MAILBOXES LOCATED AT 49 NORTH MAIN STREET,82030
2019130219AT01295,MONMOUTH,ALLENTOWN BORO,08/14/2019,WE,1604,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,11,2,16 CHURCH ST,,,,,,09,,01,04,02,01,01,01,04,01,,,,,,,,25,,52,40.178090,74.585410,N,DAMAGE TO PSEG EQUIPMENT ON TELEPHONE POLE # 60016AB,82006
2019130219AT01339,MONMOUTH,ALLENTOWN BORO,08/20/2019,TU,1456,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 524,S,524,,00000524__,6.52,05,,01,04,02,01,01,,04,,,AT,,ROUTE 539 / HIGH ST,,,,25,25,26,,,N,,82006
2019130219AT01413,MONMOUTH,ALLENTOWN BORO,08/30/2019,FR,1625,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,02,2,ROUTE 524,S,524,,00000524__,6.81,05,,01,04,02,01,01,01,04,,,AT,,ROUTE 526 / CHURCH ST,,,,25,25,26,,,N,,8230
2019130219AT01444,MONMOUTH,ALLENTOWN BORO,09/06/2019,FR,1509,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 524,,524,,00000524__,6.21,05,,01,04,02,02,01,01,05,,,AT,,CR 28 / MAIN ST,,,,35,30,26,,,N,,82012
2019130219AT01463,MONMOUTH,ALLENTOWN BORO,09/09/2019,MO,0051,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,Y,N,06,2,ROUTE 524,,524,,00000524__,6.52,05,,01,04,02,01,06,01,04,,200,FE,,ROUTE 539 / HIGH ST,,,,30,30,26,,,N,,82029
2019130219AT01508,MONMOUTH,ALLENTOWN BORO,09/18/2019,WE,1517,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,03,2,ROUTE 524,S,524,,00000524__,6.71,05,,01,04,02,01,01,01,04,,100,FE,S,LAKEVIEW DR,,,,25,25,26,40.177030,74.585610,N,,82030
2019130219AT01608,MONMOUTH,ALLENTOWN BORO,10/01/2019,TU,1817,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,B,N,N,01,2,ROUTE 524,N,524,,00000524__,7.26,05,,01,04,02,01,01,01,04,,,,,,,,,30,,26,,,N,,82031
2019130219AT01621,MONMOUTH,ALLENTOWN BORO,10/02/2019,WE,1913,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 524,,524,,00000524__,6.21,05,,01,04,02,01,06,03,04,01,,AT,,CR 28 / MAIN ST,,,,30,30,,40.172740,74.596070,N,,82029
2019130219AT01655,MONMOUTH,ALLENTOWN BORO,10/05/2019,SA,2128,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,1,0,0,I,I,N,N,03,2,ROUTE 524,S,524,,00000524__,6.01,05,,01,04,02,01,04,01,04,,,AT,,NEW ROAD,,,,30,25,26,,,N,,82031
2019130219AT01663,MONMOUTH,ALLENTOWN BORO,10/06/2019,SU,1500,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,04,2,ROUTE 526,W,526,,00000526__,10.50,05,,01,04,02,01,01,01,04,01,,AT,,ROUTE 524 / MAIN ST,,,,25,,26,40.177780,74.584300,N,,82006
2019130219AT0166519-42,MONMOUTH,ALLENTOWN BORO,10/06/2019,SU,1605,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,07,2,ROUTE 524,S,524,,00000524__,6.83,05,,01,04,02,01,01,01,04,01,,,,ROUTE 526 / WALKER ST,,,,25,,26,40.177990,74.583990,N,,82006
2019130219AT01676,MONMOUTH,ALLENTOWN BORO,10/08/2019,TU,1505,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 524,E,524,,00000524__,6.52,05,,01,04,02,01,01,01,04,,,AT,,ROUTE 539 / HIGH ST,,,,25,25,26,40.175220,74.588550,N,,8230
2019130219AT01677,MONMOUTH,ALLENTOWN BORO,10/08/2019,TU,1527,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 524,N,524,,00000524__,6.65,05,,03,04,02,01,01,01,04,,400,FE,S,LAKEVIEW DR,,,,25,25,26,40.176230,74.585900,N,,8230
2019130219AT01691,MONMOUTH,ALLENTOWN BORO,10/11/2019,FR,1452,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,B,N,N,02,2,ROUTE 524,N,524,,00000524__,6.73,05,,01,04,02,01,01,01,04,,25,FE,S,LAKEVIEW DR,,,,25,25,26,,,N,,82032
2019130219AT01727,MONMOUTH,ALLENTOWN BORO,10/16/2019,WE,0956,01,ALLENTOWN BORO PD,ALLENTOWN,0,0,0,0,P,B,N,N,06,2,ROUTE 526,E,526,,00000526__,10.50,05,,01,05,02,01,01,01,02,,50,FE,E,ROUTE 524 / MAIN ST,,,,25,25,26,40.178500,74.585290,N,,8230
2019130219AT01829,MONMOUTH,ALLENTOWN BORO,10/27/2019,SU,1659,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,1,0,0,I,I,N,N,01,2,ROUTE 526,E,526,,00000526__,10.35,05,,01,04,02,01,01,01,04,,,AT,W,HAMILTON ST,,,,25,25,26,40.179240,74.586440,N,,8230
2019130219AT01851,MONMOUTH,ALLENTOWN BORO,10/31/2019,TH,2223,01,ALLENTOWN BORO PD,ALLENTOWN,0,0,0,0,P,B,N,N,06,2,BROAD ST / HAMILTON ST **,,,,13021011__,.32,07,,01,04,02,01,05,01,,,50,FE,S,ROUTE 524 / NORTH MAIN ST,,,,25,25,26,,,N,,82032
2019130219AT01952,MONMOUTH,ALLENTOWN BORO,11/17/2019,SU,0852,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,ROUTE 526,E,526,,00000526__,10.50,05,,01,04,02,01,01,01,05,01,,,,ROUTE 524 / MAIN ST,,,,25,,26,40.177780,74.584300,N,,82012
2019130219AT01982,MONMOUTH,ALLENTOWN BORO,11/22/2019,FR,1300,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,ROUTE 524,,,,,,09,,01,04,03,01,01,01,04,,,FE,W,,,,,25,,26,40.177270,74.585420,N,,8230
20191302C060-2019-01575A,MONMOUTH,ALLENTOWN BORO,10/22/2019,TU,0727,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,0,0,0,P,B,N,N,01,3,ROUTE 539,N,539,,00000539__,44.10,05,,01,04,02,01,01,05,05,01,,,,,,,,45,,26,40.193980,74.560370,N,D3 stated there were two boosters seats in the back that were damaged.,8349
2019130319A030071,MONMOUTH,ASBURY PARK CITY,09/25/2019,WE,1215,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,SUMMERFIELD AVE **,W,,,13031055__,.01,07,,01,04,02,01,01,01,05,,50,FE,E,RIDGE AVE,,,,25,25,28,40.219650,74.024390,N,,83213
2019130319A10580,MONMOUTH,ASBURY PARK CITY,04/20/2019,SA,0439,01,ASBURY PARK PD,ASBURY PARK,0,0,0,0,P,B,N,N,06,2,DUNLEWY ST **,N,,,13031025__,.01,07,,01,04,02,01,05,05,05,01,60,FE,N,CR 16 / ASBURY AVE,,,,25,25,28,,,N,,83244
2019130319AP00062,MONMOUTH,ASBURY PARK CITY,01/01/2019,TU,1603,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,GRAND AVE **,N,,,13031048__,.13,07,,01,04,02,01,01,01,04,01,,AT,,MONROE AVE,,,,30,25,26,,,N,,83263
2019130319AP00150,MONMOUTH,ASBURY PARK CITY,01/02/2019,WE,1539,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,02,2,NJ 71,W,71,,00000071__,7.98,02,,02,04,02,01,01,01,04,01,,AT,,SPRINGWOOD AVE / LAKE AVE,,,,25,25,26,,,N,,83219
2019130319AP00200,MONMOUTH,ASBURY PARK CITY,01/03/2019,TH,0800,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,BANGS AVE,W,,,13031083__,.43,07,,01,04,02,01,06,01,05,01,50,FE,E,COMSTOCK ST,,,,25,25,28,40.218350,74.017330,N,,83221
2019130319AP00264,MONMOUTH,ASBURY PARK CITY,01/03/2019,TH,1927,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,NJ 71,S,71,,00000071__,8.08,02,,01,04,02,02,06,02,05,01,50,FE,S,MATTISON AVE,,,,25,25,26,,,N,,83183
2019130319AP00389,MONMOUTH,ASBURY PARK CITY,01/05/2019,SA,0035,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,FOURTH AVE **,,,,13031003__,.83,07,,01,04,02,02,06,02,,,,AT,,MEMORIAL DR,,,,25,30,26,,,N,,83286
2019130319AP00410,MONMOUTH,ASBURY PARK CITY,01/05/2019,SA,0719,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,DUNLEWY ST **,S,,,13031025__,.06,07,,01,04,02,02,01,02,05,01,300,FE,N,CR 16 / ASBURY AVE,,,,25,25,28,,,N,,83270
2019130319AP00476,MONMOUTH,ASBURY PARK CITY,01/05/2019,SA,2334,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,THIRD AVE,E,,,,,07,,01,04,02,01,07,01,05,,50,FE,W,HECK AVENUE,,,,25,25,26,,,N,,83288
2019130319AP00481,MONMOUTH,ASBURY PARK CITY,01/06/2019,SU,0015,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,13,1,MEMORIAL DR,N,,,13031009__,.00,07,,01,04,02,02,07,05,04,01,25,FE,S,MUNROE AVE,,,,25,25,26,,,N,,83158
2019130319AP00521,MONMOUTH,ASBURY PARK CITY,01/06/2019,SU,1549,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,SIXTH AVE **,S,,,13031017__,.47,07,,01,04,02,01,01,01,04,01,,AT,,GRAND AVE,,,,25,25,26,,,N,,83272
2019130319AP00604,MONMOUTH,ASBURY PARK CITY,01/07/2019,MO,1451,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,03,2,MEMORIAL DR,S,,,13031009__,.47,07,,01,04,02,01,01,05,05,01,,AT,,SUNSET AVE,,,,30,25,26,40.227220,74.010720,N,,83221
2019130319AP00642,MONMOUTH,ASBURY PARK CITY,01/07/2019,MO,2205,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,4,RIDGE AVENUE,S,,,,,07,,01,04,02,01,06,01,04,,100,FE,S,THIRD AVENUE,,,,25,25,28,,,N,,
2019130319AP00652,MONMOUTH,ASBURY PARK CITY,01/08/2019,TU,2227,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,N,71,,00000071__,8.35,02,,01,04,02,02,06,02,05,01,,AT,,CR 16 / ASBURY AVE,,,,30,25,26,,,N,,83259
2019130319AP00684,MONMOUTH,ASBURY PARK CITY,01/08/2019,TU,1223,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,02,2,SUNSET AVE,E,,,13031365__,.58,07,,01,04,02,02,01,02,,02,,,,NJ 71 / MAIN ST,,,,25,30,26,,,N,,83226
2019130319AP00722,MONMOUTH,ASBURY PARK CITY,01/09/2019,WE,0526,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,05,3,THIRD AVE,,,,,,07,,01,04,02,02,05,05,05,01,50,FE,W,LANGFORD STREET,,,,25,25,,40.224550,74.014180,N,,
2019130319AP00733,MONMOUTH,ASBURY PARK CITY,01/09/2019,WE,1111,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,11,1,FOURTH AVE **,E,,,13031003__,.90,07,,01,04,02,01,01,01,,02,10,FE,E,NJ 71 / MAIN ST,,,,25,30,,,,N,,83226
2019130319AP00812,MONMOUTH,ASBURY PARK CITY,01/10/2019,TH,1004,01,ASBURY PARK PD,1 MUNICIPAL PLZ,0,1,0,0,I,I,N,N,06,2,COMSTOCK ST **,W,,,13031012__,,07,,01,04,02,01,01,01,05,01,,AT,N,NJ 71,,,,25,25,26,,,N,,83210
2019130319AP00985,MONMOUTH,ASBURY PARK CITY,01/11/2019,FR,2030,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,NJ 71,,71,,00000071__,8.65,02,,01,04,02,01,06,01,04,,25,FE,N,4TH AVE,,,,30,25,26,,,N,,83283
2019130319AP01047,MONMOUTH,ASBURY PARK CITY,01/12/2019,SA,1046,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,ADAMS AVE **,E,,,13031063__,.05,07,,01,04,02,01,01,01,05,01,50,FE,E,ATKINS AVE,,,,25,25,28,,,N,,83150
