Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2020130120-15109,MONMOUTH,ALLENHURST BORO,06/23/2020,TU,1033,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,S,,,13031089__,.30,07,,01,04,02,01,01,01,05,01,250,FE,S,CORLIES AVE,,,,25,25,26,,,N,,109
2020130120-15516,MONMOUTH,ALLENHURST BORO,06/26/2020,FR,1346,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,HUME ST **,E,,,13011002__,.00,07,,01,04,02,01,01,01,05,01,250,FE,W,PAGE AVE,,,,25,25,26,,,N,,120
2020130120-16892,MONMOUTH,ALLENHURST BORO,07/06/2020,MO,1349,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,07,2,NJ 71,W,71,,00000071__,9.93,02,,01,04,02,01,01,01,05,01,,AT,,CEDAR AVE,,,,25,25,26,,,N,,114
2020130120-17748,MONMOUTH,ALLENHURST BORO,07/12/2020,SU,1339,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,99,1,ALLEN AVE **,E,,,13011005__,.65,07,,01,04,02,01,01,01,05,01,,AT,,LAKE DR,,,,25,25,19,,,N,,109
2020130120-17780,MONMOUTH,ALLENHURST BORO,07/12/2020,SU,1734,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,01,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,S,,,13031089__,.33,07,,01,04,02,01,01,01,05,01,115,FE,S,CORLIES AVE,,,,25,25,,,,N,,119
2020130120-18160,MONMOUTH,ALLENHURST BORO,07/15/2020,WE,1427,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,15,1,OCEAN AVE,S,,,13031088__,1.37,07,,01,04,02,01,01,01,05,01,15,FE,S,ALLEN AVE,,,,25,25,39,,,N,BOROUGH OWNED PEDESTRIAN SIGN DESTROYED,116
2020130120-18917,MONMOUTH,ALLENHURST BORO,07/20/2020,MO,1144,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ALLEN AVE **,S,,,13011005__,.13,07,,01,04,02,01,01,01,05,01,1,FE,W,OCEAN AVE,,,,25,25,28,,,N,,108
2020130120-19854,MONMOUTH,ALLENHURST BORO,07/27/2020,MO,1657,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,SPIER AVE **,W,,,13011013__,.54,07,,01,04,02,01,01,01,05,01,225,FE,E,OCEAN AVE,,,,25,25,26,,,N,,109
2020130120-20374,MONMOUTH,ALLENHURST BORO,07/31/2020,FR,1610,01,ALLENHURST PD,,0,2,0,0,I,I,N,N,07,2,CORLIES AVE,,,,13011016__,.30,07,,01,04,02,01,01,01,05,01,,AT,,PAGE AVE,,,,25,25,,,,N,,526
2020130120-20506,MONMOUTH,ALLENHURST BORO,08/01/2020,SA,1551,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,02,2,SPIER AVE **,E,,,13011013__,.52,07,,01,04,02,01,01,01,05,01,100,FE,E,OCEAN AVE,,,,25,25,26,,,N,,109
2020130120-20955,MONMOUTH,ALLENHURST BORO,08/05/2020,WE,1306,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,2,NJ 71,,71,,00000071__,9.79,02,,02,04,02,01,01,01,05,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,104
2020130120-22123,MONMOUTH,ALLENHURST BORO,08/13/2020,TH,1542,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,03,2,NJ 71,N,71,,00000071__,9.79,02,,02,04,02,02,01,02,05,01,15,FE,E,CORLIES AVE,,,,35,25,26,,,N,,116
2020130120-23111,MONMOUTH,ALLENHURST BORO,08/20/2020,TH,0807,01,ALLENHURST PD,,0,1,0,1,I,I,N,N,13,1,NJ 71,S,71,,00000071__,9.79,02,,03,04,02,01,01,01,05,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,105
2020130120-23888,MONMOUTH,ALLENHURST BORO,08/25/2020,TU,1643,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,3,OCEAN AVE,W,,,13031088__,1.37,07,,01,04,02,01,01,01,05,01,,AT,,ALLEN AVE,,,,25,25,26,,,N,,108
2020130120-25263,MONMOUTH,ALLENHURST BORO,09/03/2020,TH,1503,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,ATLANTIC AVE / MAIN ST / MONMOUTH DR,N,,,13031089__,.28,07,,01,04,02,01,01,01,05,01,,AT,,ALLEN AVE,,,,25,25,26,,,N,,108
2020130120-25380,MONMOUTH,ALLENHURST BORO,09/04/2020,FR,1201,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,ATLANTIC AVE / MAIN ST / MONMOUTH DR,N,,,13031089__,.22,07,,01,,01,01,01,,05,01,40,FE,N,ELBERON AVE,,,,25,25,53,,,N,STREET LIGHT POLE,105
2020130120-27897,MONMOUTH,ALLENHURST BORO,09/23/2020,WE,1545,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,RAILROAD PLAZA **,S,,,13011014__,.06,07,,01,04,02,01,01,01,05,01,35,FE,N,CR 31 / CORLIES AVE,,,,25,25,26,,,N,,119
2020130120-28425,MONMOUTH,ALLENHURST BORO,09/28/2020,MO,0141,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,CEDAR AVE **,E,,,13011011__,.29,07,,01,04,02,02,06,02,05,01,200,FE,W,NJ 71 / NORWOOD AVE,,,,25,35,26,,,N,,114
2020130120-33743,MONMOUTH,ALLENHURST BORO,11/26/2020,TH,1107,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,S,71,,00000071__,9.79,02,,03,04,02,02,01,05,05,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,
2020130120-34458,MONMOUTH,ALLENHURST BORO,12/04/2020,FR,1702,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,SPIER AVE **,W,,,13011013__,.48,07,,01,04,02,02,06,02,05,01,80,FE,W,OCEAN AVE,,,,25,25,60,,,N,,116
2020130120-35367,MONMOUTH,ALLENHURST BORO,12/17/2020,TH,1856,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,01,2,CORLIES AVE,E,,,13011016__,.42,07,,01,04,02,01,06,01,05,01,,AT,,MAIN ST,,,,25,25,26,,,Y,,120
2020130220AT00062,MONMOUTH,ALLENTOWN BORO,01/07/2020,TU,0920,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,S MAIN ST,,,,,,05,,01,04,02,01,01,01,05,01,,,,,,,,25,,,40.177110,74.584940,N,,82012
2020130220AT00066,MONMOUTH,ALLENTOWN BORO,01/07/2020,TU,2006,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,B,N,N,12,2,ALLENTOWN YARDVILLE RD,W,,,,,07,,01,04,02,02,05,02,04,,,,,,,,,35,,24,,,N,,82031
2020130220AT00069,MONMOUTH,ALLENTOWN BORO,01/08/2020,WE,1414,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,I,N,N,06,2,ROUTE 526,S,526,,00000526__,10.50,05,,01,04,02,01,01,01,04,01,,AT,,ROUTE 524 / MAIN ST,,,,25,25,28,,,N,,82032
2020130220AT00222,MONMOUTH,ALLENTOWN BORO,01/24/2020,FR,1422,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,03,2,CR 539,,,,,,05,,01,04,02,01,01,01,04,,,AT,,HIGH SCHOOL DRIVE,,,,25,15,26,40.172790,74.589340,N,,82006
2020130220AT00284,MONMOUTH,ALLENTOWN BORO,01/30/2020,TH,0720,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,07,2,CR 524,,,,,,05,,01,04,02,01,01,01,05,01,,AT,,ALLENTOWN YARDVILLE RD,,,,30,35,,,,N,,82012
2020130220AT00557,MONMOUTH,ALLENTOWN BORO,02/24/2020,MO,1353,01,ALLENTOWN BORO PD,ALLENTOWN,0,0,0,0,P,B,N,N,06,2,ROUTE 524,S,524,,00000524__,6.64,05,,01,04,02,01,01,01,04,,500,FE,S,LAKEVIEW DR,,,,25,25,26,40.177360,74.585160,N,,82030
2020130220AT00618,MONMOUTH,ALLENTOWN BORO,03/02/2020,MO,1057,01,ALLENTOWN BORO PD,,0,1,0,0,I,B,N,N,01,2,ROUTE 524,,524,,00000524__,,05,,01,04,02,01,01,01,04,,,,,,,,,30,,26,40.172790,74.589340,N,,82006
2020130220AT01177,MONMOUTH,ALLENTOWN BORO,06/14/2020,SU,1847,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,I,N,N,07,2,ROUTE 524,N,524,,00000524__,6.73,05,,01,04,02,01,01,01,04,,,AT,,LAKEVIEW DR,,,,25,25,26,,,N,,82031
2020130220AT01268,MONMOUTH,ALLENTOWN BORO,06/27/2020,SA,2139,01,ALLENTOWN BORO PD,ALLENTOWN BORO,0,0,0,0,P,I,N,N,01,2,ROUTE 526,E,526,,00000526__,10.50,05,,01,04,02,01,01,01,04,00,,AT,E,ROUTE 524 / MAIN ST,,,,25,25,26,,,N,,82032
2020130220AT01282,MONMOUTH,ALLENTOWN BORO,06/30/2020,TU,0947,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,06,2,N MAIN ST,,,,,,07,,01,04,02,01,01,01,04,,,AT,,WAKER AVE,,,,25,,26,40.178030,74.584290,N,,82006
2020130220AT01333,MONMOUTH,ALLENTOWN BORO,07/07/2020,TU,1811,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,CR 524,S,,,,,07,,01,04,02,01,01,01,04,01,200,FE,S,WAKER AVENUE,,,,25,25,,40.177950,74.583690,N,,82030
20201302C060-2020-01262A,MONMOUTH,ALLENTOWN BORO,11/12/2020,TH,1742,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,0,0,0,P,B,N,N,01,2,ROUTE 524,E,524,,00000524__,6.52,05,,01,05,02,01,03,01,04,01,5,FE,W,ROUTE 539 / HIGH ST,,,,45,45,26,40.187700,74.566100,N,,8275
2020130320AP00066,MONMOUTH,ASBURY PARK CITY,01/01/2020,WE,2216,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,04,2,ATKINS AVE **,,,,13031051__,.20,07,,01,04,02,01,06,01,04,,,AT,,SPRINGWOOD AVE,,,,25,25,26,,,N,,83248
2020130320AP00095,MONMOUTH,ASBURY PARK CITY,01/02/2020,TH,0733,01,ASBURY PARK PD,,0,2,0,0,I,I,N,N,03,2,MONMOUTH COUNTY 16,W,16,,13000016__,6.15,05,,01,04,02,01,01,01,,,,AT,,MEMORIAL DR,,,,25,30,26,,,N,,83185
2020130320AP00141,MONMOUTH,ASBURY PARK CITY,01/02/2020,TH,1804,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,14,1,BANGS AVE,E,,,13031083__,.03,07,,01,04,02,01,06,01,04,,,AT,,RIDGE AVE,,,,25,25,21,,,N,,83289
2020130320AP00143,MONMOUTH,ASBURY PARK CITY,01/02/2020,TH,1840,01,ASBURY PARK PD,,0,1,0,0,I,I,Y,N,11,1,SUMMERFIELD AVE **,E,,,13031055__,.00,07,,01,04,02,01,06,05,05,01,,AT,,RIDGE AVE,,,,25,25,59,40.219660,74.024770,N,SEE NARRATIVE FOR PROPERTY DAMAGE LIST,83221
2020130320AP00292,MONMOUTH,ASBURY PARK CITY,01/04/2020,SA,0852,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,NJ 71,,71,,00000071__,8.57,02,,01,04,02,02,01,02,04,,30,FE,S,3RD AVE,,,,30,25,28,40.222880,74.010830,N,,83278
2020130320AP00359,MONMOUTH,ASBURY PARK CITY,01/04/2020,SA,2259,01,ASBURY PARK PD,,0,0,0,0,P,B,Y,N,06,2,BANGS AVE,W,,,13031083__,.03,07,,01,04,02,02,06,02,05,01,20,FE,E,RIDGE AVE,,,,25,25,28,,,N,,83285
2020130320AP00385,MONMOUTH,ASBURY PARK CITY,01/05/2020,SU,0853,01,ASBURY PARK PD,,0,0,0,0,P,I,Y,N,06,2,RIDGE AVE / WICKAPECKO DR,W,,,13371419__,1.98,07,,01,04,02,01,01,01,04,,,AT,,SUMMERFIELD AVE,,,,25,25,26,40.215350,74.246100,N,RETAINING WALL TO 305 RIDGE AVENUE HOME,83278
2020130320AP00387,MONMOUTH,ASBURY PARK CITY,01/05/2020,SU,0926,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,N,71,,00000071__,8.43,02,,01,04,02,01,01,01,04,01,,AT,,1ST AVE,,,,25,25,26,40.221440,74.011430,N,,83280
2020130320AP00566,MONMOUTH,ASBURY PARK CITY,01/07/2020,TU,1432,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,3,NJ 71,N,71,,00000071__,8.85,02,,01,04,02,01,01,01,05,01,150,FE,N,SUNSET AVE,,,,30,25,28,40.227210,74.009340,N,,
2020130320AP00590,MONMOUTH,ASBURY PARK CITY,01/07/2020,TU,1841,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,SUNSET AVE,E,,,13031365__,.06,07,,01,04,02,02,05,02,05,01,100,FE,W,KINGSLEY ST,,,,25,25,00,,,N,,83259
2020130320AP00593,MONMOUTH,ASBURY PARK CITY,01/07/2020,TU,1859,01,ASBURY PARK PD,1 MUNICIPAL PLZ,0,0,0,0,P,I,N,N,03,2,3RD AVE / THIRD AVE **,,,,13341033__,1.01,07,,01,04,01,02,06,02,,,,AT,,MEMORIAL DR,,,,25,25,26,40.223810,74.011940,N,,83262
2020130320AP00634,MONMOUTH,ASBURY PARK CITY,01/08/2020,WE,1109,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,WASHINGTON AVE,W,,,,,07,,01,04,02,01,06,01,05,01,,,,,,,,25,,28,,,N,,83204
2020130320AP00652,MONMOUTH,ASBURY PARK CITY,01/08/2020,WE,1447,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,02,2,LANGFORD ST **,N,,,13031010__,.40,07,,01,04,02,01,01,01,04,,5,FE,S,CR 16 / ASBURY AVE,,,,25,25,26,40.220610,74.014850,N,,83207
2020130320AP00715,MONMOUTH,ASBURY PARK CITY,01/09/2020,TH,1039,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,11,1,BANGS AVE,W,,,13031083__,.03,07,,01,04,02,01,01,01,04,01,,AT,,RIDGE AVE,,,,25,25,52,,,N,JCP&L UTILITY POLE  NUMBER JC15AP.,83272
2020130320AP00728,MONMOUTH,ASBURY PARK CITY,01/09/2020,TH,1323,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,02,2,NJ 71,S,71,,00000071__,8.73,02,,01,04,02,01,01,01,04,01,5,FE,N,5TH AVE,,,,30,25,26,40.225130,74.010100,N,,83207
2020130320AP00833,MONMOUTH,ASBURY PARK CITY,01/10/2020,FR,1331,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,MONMOUTH COUNTY 40 A,N,40,A,13000040A_,.00,07,,01,04,02,01,01,01,04,,,AT,W,MUNROE AVE,,,,30,25,26,40.219160,74.013600,N,,83243
2020130320AP00880,MONMOUTH,ASBURY PARK CITY,01/10/2020,FR,0829,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,PROSPECT AVE **,S,,,13031042__,.62,07,,01,04,02,01,06,01,04,01,,AT,,BANGS AVE,,,,25,,26,,,N,,83276
2020130320AP01076,MONMOUTH,ASBURY PARK CITY,01/12/2020,SU,1308,01,ASBURY PARK PD,,0,1,0,0,I,I,N,N,03,2,MONMOUTH COUNTY 40 A,N,40,A,13000040A_,.00,07,,01,04,02,01,01,01,04,01,,AT,,MUNROE AVE,,,,30,25,26,,,N,,83204
2020130320AP01100,MONMOUTH,ASBURY PARK CITY,01/12/2020,SU,2323,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,06,2,BOND ST **,,,,13031036__,.93,07,,01,04,02,02,06,05,04,,,AT,,COOKMAN AVE,,,,25,25,28,,,N,,83248
2020130320AP01247,MONMOUTH,ASBURY PARK CITY,01/14/2020,TU,0949,01,ASBURY PARK PD,1303,0,0,0,0,P,B,N,N,06,2,SYLVAN AVE **,S,,,13031061__,.06,07,,01,04,02,01,01,01,05,01,10,FE,N,ADAMS AVE,,,,25,25,28,40.213850,74.018510,N,,83288
2020130320AP01447,MONMOUTH,ASBURY PARK CITY,01/16/2020,TH,1212,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,02,2,FIFTH AVE **,W,,,13031004__,.58,07,,01,04,02,01,01,01,04,01,,AT,,NJ 71 / MAIN ST,,,,25,30,,,,N,,83131
2020130320AP01561,MONMOUTH,ASBURY PARK CITY,01/17/2020,FR,1806,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,FISHER PL / WASHINGTON AVE **,W,,,,,07,,01,04,02,01,06,01,05,01,,,,,,,,25,,28,40.220250,74.022910,N,,83276
2020130320AP01574,MONMOUTH,ASBURY PARK CITY,01/17/2020,FR,1941,01,ASBURY PARK PD,,0,1,0,0,I,B,N,N,01,2,MONMOUTH COUNTY 40 A,S,40,A,13000040A_,.31,05,,01,04,02,01,06,01,04,01,20,FE,N,SPRINGWOOD AVE,,,,30,25,26,,,N,,83276
2020130320AP01633,MONMOUTH,ASBURY PARK CITY,01/18/2020,SA,1013,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,MUNROE AVE **,E,,,13031016__,.01,07,,01,04,02,01,01,01,05,01,35,FE,W,PROSPECT AVE,,,,25,25,28,40.221430,74.022830,N,,83288
2020130320AP01742,MONMOUTH,ASBURY PARK CITY,01/19/2020,SU,1808,01,ASBURY PARK PD,APPD,0,0,0,0,P,B,N,N,06,4,RIDGE AVE / WICKAPECKO DR,N,,,13371419__,2.32,07,,01,04,02,01,06,01,05,01,200,FE,N,SPRINGWOOD AVE,,,,25,25,26,,,N,,
2020130320AP01873,MONMOUTH,ASBURY PARK CITY,01/21/2020,TU,1221,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,FIRST AVE **,E,,,13031001__,.75,07,,01,04,02,00,00,00,05,01,20,FE,E,GRAND AVE,,,,25,25,26,40.220590,74.005800,N,,83288
2020130320AP01882,MONMOUTH,ASBURY PARK CITY,01/21/2020,TU,1436,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,02,2,NJ 71,S,71,,00000071__,8.30,02,,01,04,02,01,01,01,04,01,,AT,S,SEWALL AVE,,,,30,25,26,,,N,,83131
2020130320AP01986,MONMOUTH,ASBURY PARK CITY,01/22/2020,WE,1859,01,ASBURY PARK PD,1303,0,1,0,0,I,I,N,N,02,2,NJ 71,N,71,,00000071__,8.25,02,,01,04,02,01,06,01,04,,,AT,,MONROE AVE,,,,30,25,26,40.218880,74.012350,N,,83232
2020130320AP02061,MONMOUTH,ASBURY PARK CITY,01/23/2020,TH,1448,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,05,2,PROSPECT AVE **,N,,,13031042__,.32,07,,01,04,02,01,01,01,05,01,,AT,,SEWALL AVE,,,,25,25,26,,,N,,83291
2020130320AP02141,MONMOUTH,ASBURY PARK CITY,01/24/2020,FR,1313,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,UNION AVE **,,,,13031060__,.01,07,,01,04,02,01,01,01,05,01,40,FE,S,ATLANTIC AVE,,,,25,25,28,40.216150,74.019890,N,,83228
2020130320AP02211,MONMOUTH,ASBURY PARK CITY,01/24/2020,FR,2333,01,ASBURY PARK PD,APPD,0,0,0,0,P,B,N,N,08,2,FOURTH AVE **,,,,13031003__,1.39,07,,01,04,02,01,06,01,03,,40,FE,W,KINGSLEY ST,,,,25,,26,,,N,,83244
2020130320AP02212,MONMOUTH,ASBURY PARK CITY,01/24/2020,FR,2310,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,OCEAN AVE,E,,,13031088__,.01,07,,01,04,02,01,06,01,04,01,75,FE,N,ASBURY AVE,,,,25,25,28,,,N,,83275
2020130320AP02236,MONMOUTH,ASBURY PARK CITY,01/25/2020,SA,0707,01,ASBURY PARK PD,APPD,0,0,0,0,P,I,Y,N,11,1,FOURTH AVE **,W,,,13031003__,.90,07,,01,04,02,01,06,01,05,01,,AT,W,NJ 71 / MAIN ST,,,,25,25,56,,,N,SMALL TREE AND A NO TURN ON RED SIGN,83244
2020130320AP02262,MONMOUTH,ASBURY PARK CITY,01/25/2020,SA,1443,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,2ND AVE / SECOND ST **,,,,13031002__,.24,07,,01,04,02,02,01,02,05,01,30,FE,W,HECK ST,,,,,25,26,40.221040,74.005440,N,,83228
2020130320AP02283,MONMOUTH,ASBURY PARK CITY,01/25/2020,SA,1823,01,ASBURY PARK PD,APPD,0,0,0,0,P,I,N,N,03,2,3RD AVE / THIRD AVE **,,,,13341033__,.25,07,,01,04,02,01,06,01,03,,,AT,,RIDGE AVE,,,,25,25,26,40.219610,74.024990,N,AS A RESULT OF THE ACCIDENT  VEHICLE #2 STRUCK THE SIDE OF 819 RIDGE AVENUE HOME,83280
2020130320AP02345,MONMOUTH,ASBURY PARK CITY,01/26/2020,SU,0916,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,LANGFORD ST **,W,,,13031010__,.35,07,,01,04,02,01,01,01,05,,,AT,,SEWALL AVE,,,,25,25,,,,N,,83291
2020130320AP02364,MONMOUTH,ASBURY PARK CITY,01/26/2020,SU,1544,01,ASBURY PARK PD,PATROL DIVISION,0,0,0,0,P,B,N,N,06,2,FISHER PL / WASHINGTON AVE **,N,,,13031053__,.15,07,,01,04,02,01,01,01,,,3,FE,E,JERSEY ST,,,,25,25,28,40.219900,74.021830,N,,83287
2020130320AP02371,MONMOUTH,ASBURY PARK CITY,01/26/2020,SU,1809,01,ASBURY PARK PD,,0,1,0,1,I,I,N,N,13,1,MONMOUTH COUNTY 40 A,,40,A,13000040A_,.31,05,,01,04,02,01,07,01,04,01,,AT,,SPRINGWOOD AVE,,,,30,25,26,,,N,,83276
2020130320AP02438,MONMOUTH,ASBURY PARK CITY,01/27/2020,MO,1203,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,9 MAIN ST,,,,,,08,,01,04,02,01,01,01,05,01,,,,,,,,,,28,40.214540,74.014350,N,,83221
2020130320AP02524,MONMOUTH,ASBURY PARK CITY,01/28/2020,TU,1727,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,03,2,CHURCH ST / JERSEY ST **,W,,,13031030__,.21,07,,01,04,02,01,07,01,05,01,,AT,,WASHINGTON AVE,,,,25,25,26,40.219920,74.022500,N,,83266
2020130320AP02551,MONMOUTH,ASBURY PARK CITY,01/28/2020,TU,2240,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,SUMMERFIELD AVE,W,,,,,07,,01,04,02,01,06,01,05,,7,FE,W,MEMORIAL DRIVE,,,,25,30,28,40.218420,74.013860,N,,83213
