Year(4)-CountyCode(2)-MunicipalityCode(2)-CaseNumber,County Name,Municipality Name,Crash Date,Crash Day of Week,Crash Time,Police Department Code,Police Department,Police Station,Total Killed,Total Injured,Pedestrians Killed,Pedestrians Injured,Severity,Intersection,Alcohol Involved,Hazmat Involved,Crash Type,Total Vehicles,Location,Location Direction,Route,Route Suffix,Std Rte Identifier,MilePost,Road System,Road Character,Road Horizontal Alignment,Road Grade,Road Surface Type,Surface Condition,Light Condition,Environmental Condition,Road Divided By,Temporary Traffic Control Zone,Distance To Cross Street,Unit Of Measurement,Direction From Cross Street,Cross Street Name,Is Ramp,Ramp To/From Route Name,Ramp To/From Route Direction,Posted Speed,Posted Speed Cross Street,First Harmful Event,Latitude,Longitude,Cell Phone In Use Flag,Other Property Damage,Reporting Badge No.
2018130118-11557,MONMOUTH,ALLENHURST BORO,05/24/2018,TH,1902,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,2,NJ 71,S,71,,00000071__,9.72,02,,01,04,02,01,01,01,05,01,,AT,,ALLEN AVE,,,,35,25,26,,,N,,116
2018130118-11762,MONMOUTH,ALLENHURST BORO,05/26/2018,SA,1657,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,01,2,CORLIES AVE,W,,,13011016__,.46,07,,01,04,02,01,01,05,05,01,,AT,,RAILROAD PLAZA,,,,25,25,26,,,N,,109
2018130118-12384,MONMOUTH,ALLENHURST BORO,06/01/2018,FR,1221,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,CORLIES AVE,E,,,13011016__,.34,07,,01,04,02,01,01,01,05,01,200,FE,E,PAGE AVENUE,,,,25,25,26,,,N,,118
2018130118-13134,MONMOUTH,ALLENHURST BORO,06/08/2018,FR,1056,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,05,2,NJ 71,N,71,,00000071__,9.72,02,,01,04,02,01,01,01,05,01,,AT,,ALLEN AVE,,,,35,25,26,,,N,,
2018130118-13532,MONMOUTH,ALLENHURST BORO,06/12/2018,TU,0534,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,3,SPIER AVE **,W,,,13011013__,.15,07,,01,04,02,01,01,01,05,01,300,FE,E,MAIN ST,,,,25,25,26,,,N,,
2018130118-15851,MONMOUTH,ALLENHURST BORO,06/30/2018,SA,1454,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,CORLIES AVE,,,,13011016__,.30,07,,01,04,02,01,01,01,05,01,250,FE,,PAGE AVE,,,,25,25,28,,,N,,523
2018130118-16073,MONMOUTH,ALLENHURST BORO,07/02/2018,MO,0839,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,CORLIES AVE,N,,,13011016__,.02,07,,01,04,02,01,01,01,05,01,100,FE,E,OCEAN AVENUE,,,,25,25,26,,,N,,108
2018130118-16485,MONMOUTH,ALLENHURST BORO,07/05/2018,TH,1601,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,02,2,ALLEN AVE **,S,,,13011005__,.58,07,,01,04,02,01,01,01,05,01,,AT,S,MAIN ST,,,,25,25,26,,,N,,116
2018130118-16498,MONMOUTH,ALLENHURST BORO,07/05/2018,TH,1918,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,01,2,SPIER AVE **,W,,,13011013__,.50,07,,01,04,02,01,01,01,05,01,25,FE,E,OCEAN AVE,,,,25,25,26,,,N,,116
2018130118-17337,MONMOUTH,ALLENHURST BORO,07/12/2018,TH,1116,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,ALLEN AVENUE,E,,,,,07,,01,04,02,01,01,01,05,01,,,,,,,,25,,52,,,N,LIGHT POST #10 - CRACKED AND LEANING.,109
2018130118-19678,MONMOUTH,ALLENHURST BORO,07/29/2018,SU,1624,01,ALLENHURST PD,,0,0,0,0,P,I,N,N,03,2,NJ 71,,71,,00000071__,9.79,02,,02,04,02,01,01,01,05,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,
2018130118-19886,MONMOUTH,ALLENHURST BORO,07/31/2018,TU,1114,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,13,1,MAIN ST,,,,13031089__,.30,07,,01,04,02,01,01,01,05,01,100,FE,N,ALLEN AVE,,,,25,25,,,,N,,108
2018130118-20189,MONMOUTH,ALLENHURST BORO,08/02/2018,TH,1642,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,02,2,MAIN ST,N,,,13031089__,.33,07,,01,04,02,01,01,01,05,01,100,FE,S,CORLIES AVE,,,,25,25,26,,,N,,109
2018130118-20292,MONMOUTH,ALLENHURST BORO,08/03/2018,FR,1028,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,ALLEN AVENUE,W,,,,,07,,01,04,02,01,01,01,05,01,50,FE,E,MAIN STREET,,,,25,25,28,,,N,,109
2018130118-21960,MONMOUTH,ALLENHURST BORO,08/16/2018,TH,1807,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,01,2,NJ 71,S,71,,00000071__,9.76,02,,01,04,02,01,01,01,05,01,200,FE,N,ALLEN AVE,,,,35,25,26,,,N,,523
2018130118-22079,MONMOUTH,ALLENHURST BORO,08/17/2018,FR,1556,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,MAIN ST,,,,13031089__,.25,07,,01,04,02,01,01,01,05,01,150,FE,S,ALLEN AVE,,,,25,25,26,,,N,,118
2018130118-22973,MONMOUTH,ALLENHURST BORO,08/24/2018,FR,1704,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,CORLIES AVE,E,,,13011016__,.00,07,,01,04,02,01,01,01,05,01,300,FE,W,OCEAN AVE,,,,25,25,26,,,N,,522
2018130118-24085,MONMOUTH,ALLENHURST BORO,09/01/2018,SA,2257,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,2,ALLEN AVE **,W,,,13011005__,.58,07,,01,04,02,01,06,01,05,01,,AT,S,MAIN ST,,,,25,25,26,,,N,,522
2018130118-24453,MONMOUTH,ALLENHURST BORO,09/04/2018,TU,1145,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,MAIN ST,E,,,13031089__,.47,07,,01,04,02,01,01,01,05,01,100,FE,S,CEDAR AVE,,,,25,25,,,,N,,526
2018130118-26661,MONMOUTH,ALLENHURST BORO,09/26/2018,WE,1049,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,06,2,CORLIES AVE,,,,13011016__,.13,07,,01,04,02,02,01,05,05,01,60,FE,E,NJ 71 / NORWOOD AVE,,,,25,35,28,,,N,,119
2018130118-29191,MONMOUTH,ALLENHURST BORO,10/20/2018,SA,1501,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,08,2,ALLEN AVE **,W,,,13011005__,.28,07,,01,04,02,01,01,01,05,02,100,FE,E,NJ 71 / NORWOOD AVE,,,,25,35,26,,,N,,109
2018130118-31345,MONMOUTH,ALLENHURST BORO,11/13/2018,TU,1232,01,ALLENHURST PD,,0,0,0,0,P,B,N,N,11,1,OCEAN AVE,N,,,13011310__,.03,07,,02,04,02,02,01,01,05,01,132,FE,N,CORLIES AVE,,,,25,25,,,,N,,114
2018130118-35040,MONMOUTH,ALLENHURST BORO,12/23/2018,SU,1100,01,ALLENHURST PD,,0,1,0,0,I,I,N,N,03,2,NJ 71,N,71,,00000071__,9.79,02,,01,04,02,01,01,01,04,01,,AT,,CORLIES AVE,,,,35,25,26,,,N,,108
2018130118BC06704,MONMOUTH,ALLENHURST BORO,11/12/2018,MO,0940,99,BROOKDALE COLLEGE PD,,0,0,0,0,P,B,N,N,03,2,ARENA DRIVE,W,,,,,06,,01,04,02,01,01,01,04,01,,,,,,,,25,,26,,,N,,56153
2018130118BC06706,MONMOUTH,ALLENHURST BORO,11/12/2018,MO,1033,99,BROOKDALE COLLEGE PD,,0,0,0,0,P,B,N,N,03,2,PARKING LOT #2,S,,,,,06,,01,04,02,01,01,01,05,01,,,,,,,,15,,26,,,N,,56153
2018130218AT00012,MONMOUTH,ALLENTOWN BORO,01/02/2018,TU,1250,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,07,2,ROUTE 539,N,539,,00000539__,44.00,05,,01,04,02,01,01,01,04,01,528,FE,S,ROUTE 524 / S MAIN ST,,,,25,25,,40.174270,74.586920,N,,82030
2018130218AT00141,MONMOUTH,ALLENTOWN BORO,01/28/2018,SU,1910,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,06,2,NOLAN RD **,,,,13021004__,.14,07,,01,04,02,02,05,02,05,,,AT,,QUINN RD,,,,25,25,26,,,N,,82031
2018130218AT00164,MONMOUTH,ALLENTOWN BORO,02/01/2018,TH,1830,01,ALLENTOWN BORO PD,ALLENTOWN BORO,0,0,0,0,P,I,N,N,03,2,ROUTE 526,,526,,00000526__,10.50,05,,01,04,02,01,06,01,04,,,AT,,ROUTE 524 / MAIN ST,,,,25,25,26,,,N,,82031
2018130218AT00257,MONMOUTH,ALLENTOWN BORO,02/18/2018,SU,1403,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,06,2,PEARL STREET,,,,,,07,,01,04,02,01,01,01,05,,,AT,N,CHURCH STREET,,,,25,25,26,40.179720,74.587140,N,,82030
2018130218AT00298,MONMOUTH,ALLENTOWN BORO,02/24/2018,SA,0431,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,B,Y,N,06,2,ROUTE 524,,524,,00000524__,,05,,01,04,02,01,06,01,04,,,,,,,,,25,,26,,,N,,82031
2018130218AT00306,MONMOUTH,ALLENTOWN BORO,02/26/2018,MO,1000,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 526,,526,,00000526__,10.50,05,,01,04,02,01,01,01,04,01,,AT,W,ROUTE 524 / MAIN ST,,,,25,35,,40.173670,74.593830,N,,82030
2018130218AT00346,MONMOUTH,ALLENTOWN BORO,03/05/2018,MO,0719,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 524,,524,,00000524__,6.01,05,,01,04,02,01,01,01,,,,AT,,BREZA RD / NEW RD,,,,35,,26,,,N,,82006
2018130218AT00466/18-14,MONMOUTH,ALLENTOWN BORO,03/19/2018,MO,0949,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,03,2,YARDVILLE ALLENTOWN RD,,,,,,07,,01,04,02,01,01,01,,,,AT,,S.MAIN STREET,,,,35,35,26,40.173660,74.593830,N,,82006
2018130218AT00624,MONMOUTH,ALLENTOWN BORO,04/19/2018,TH,1622,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,04,2,ROUTE 524,,524,,00000524__,6.81,05,,01,04,02,02,01,01,05,01,,AT,,ROUTE 526 / CHURCH ST,,,,25,,,40.177780,74.584300,N,,82012
2018130218AT00772,MONMOUTH,ALLENTOWN BORO,05/19/2018,SA,1649,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,02,2,ROUTE 526,,526,,00000526__,,05,,01,04,02,02,01,02,05,01,,,,,,,,25,,,,,N,,82012
2018130218AT00783,MONMOUTH,ALLENTOWN BORO,05/21/2018,MO,1554,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,ROUTE 524,S,524,,00000524__,7.04,05,,01,04,02,01,01,01,04,01,25,FE,S,POND VIEW DR,,,,25,25,26,40.179530,74.581480,N,,82030
2018130218AT00905,MONMOUTH,ALLENTOWN BORO,06/12/2018,TU,1415,01,ALLENTOWN BORO PD,ALLENTOWN,0,0,0,0,P,B,N,N,03,2,ROUTE 539,,,,,,08,,01,04,02,01,01,01,04,,,,,,,,,25,,26,,,N,,82031
2018130218AT00913,MONMOUTH,ALLENTOWN BORO,06/13/2018,WE,1701,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,01,2,ROUTE 526,E,526,,00000526__,10.50,05,,01,04,02,01,01,01,04,,,AT,,ROUTE 524 / MAIN ST,,,,35,25,26,40.173660,74.593830,N,,82030
2018130218AT00958,MONMOUTH,ALLENTOWN BORO,06/21/2018,TH,1300,01,ALLENTOWN BORO PD,,0,3,0,3,I,I,N,N,13,1,ROUTE 526,,526,,00000526__,10.52,05,,01,04,02,01,01,01,05,02,,AT,,ROUTE 524 / MAIN ST,,,,25,,,,,N,,
2018130218AT00992,MONMOUTH,ALLENTOWN BORO,06/25/2018,MO,1713,01,ALLENTOWN BORO PD,,0,1,0,0,I,I,N,N,07,2,ROUTE 524,W,524,,00000524__,6.11,05,,01,04,02,01,01,01,,,,AT,,TWAIN DR,,,,35,25,26,40.173880,74.595750,N,,82006
2018130218AT01032,MONMOUTH,ALLENTOWN BORO,07/03/2018,TU,1803,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 524,S,524,,00000524__,6.21,05,,01,04,02,02,03,02,04,,,AT,W,CR 28 / MAIN ST,,,,30,35,26,40.713660,74.593830,N,,82030
2018130218AT01095,MONMOUTH,ALLENTOWN BORO,07/18/2018,WE,0806,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,03,2,ROUTE 526,N,526,,00000526__,10.19,05,,01,04,02,01,01,01,05,,,AT,,GORDON ST,,,,25,25,26,40.180270,74.587920,N,,82012
2018130218AT01126,MONMOUTH,ALLENTOWN BORO,07/24/2018,TU,1110,01,ALLENTOWN BORO PD,1302,0,0,0,0,P,B,N,N,11,2,WAKER AVE,E,,,,,07,,01,04,02,01,01,01,04,,,,E,,,,,25,,52,,,N,,82031
2018130218AT01149,MONMOUTH,ALLENTOWN BORO,07/28/2018,SA,1159,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,SANDBURG DR **,,,,,,07,,01,04,02,01,00,00,05,01,,,,,,,,25,,26,40.174680,74.593920,N,,82012
2018130218AT01199,MONMOUTH,ALLENTOWN BORO,08/06/2018,MO,2322,01,ALLENTOWN BORO PD,1302,0,1,0,0,I,I,Y,N,11,2,ROUTE 524,E,524,,00000524__,6.01,05,,01,04,02,01,06,01,04,01,,AT,,NEW RD,,,,35,25,46,,,N,GUARD RAIL ON THE EASTBOUND SIDE OF ALLENTOWN YARDVILLE RD.,82031
2018130218AT01221,MONMOUTH,ALLENTOWN BORO,08/15/2018,WE,1559,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,ROUTE 524,,524,,00000524__,6.75,05,,01,04,02,01,01,01,,01,100,FE,N,LAKEVIEW DR,,,,25,25,26,,,N,,82006
2018130218AT01388,MONMOUTH,ALLENTOWN BORO,09/25/2018,TU,1333,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,02,2,ROUTE 524,N,524,,00000524__,7.04,05,,01,04,02,01,01,01,04,,,AT,,POND VIEW DR,,,,30,25,26,40.180030,74.580810,N,,
2018130218AT01399,MONMOUTH,ALLENTOWN BORO,09/29/2018,SA,1007,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,02,2,ROUTE 524,N,524,,00000524__,6.54,05,,01,04,02,01,01,01,04,,1000,FE,S,LAKEVIEW DR,,,,25,25,26,40.176550,74.585500,N,,82030
2018130218AT01404,MONMOUTH,ALLENTOWN BORO,09/30/2018,SU,1244,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,ROUTE 526,E,526,,00000526__,10.49,05,,01,04,02,01,01,01,04,,50,FE,W,ROUTE 524 / MAIN ST,,,,25,25,26,40.177970,74.584800,N,,
2018130218AT01440,MONMOUTH,ALLENTOWN BORO,10/10/2018,WE,1547,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,08,2,ROUTE 539,,,,,,08,,01,04,02,01,01,01,,01,,,,,,,,,,26,40.173320,74.586570,N,,
2018130218AT01491,MONMOUTH,ALLENTOWN BORO,10/25/2018,TH,0910,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 539,,539,,00000539__,,05,,01,04,02,,01,01,05,,,,,,,,,25,,26,40.179230,74.582070,N,,82012
2018130218AT01552,MONMOUTH,ALLENTOWN BORO,11/15/2018,TH,1806,01,ALLENTOWN BORO PD,,0,0,0,0,P,I,N,N,08,2,ROUTE 539,,539,,00000539__,44.10,05,,01,04,02,03,06,03,04,01,,AT,,ROUTE 524 / S MAIN ST,,,,30,30,26,40.175220,74.588550,N,,
2018130218AT01553,MONMOUTH,ALLENTOWN BORO,11/15/2018,TH,1927,01,ALLENTOWN BORO PD,,0,1,0,0,I,I,N,N,03,2,ROUTE 524,W,524,,00000524__,6.01,05,,01,04,02,03,06,03,04,,,AT,,NEW RD,,,,35,25,26,40.174070,74.597650,N,,
2018130218AT01559,MONMOUTH,ALLENTOWN BORO,11/18/2018,SU,2024,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,06,2,PONDVIEW DR,,,,,,07,,01,04,02,01,06,01,05,01,,,,,,,,25,,,40.180790,74.581810,N,,B2012
2018130218AT01563,MONMOUTH,ALLENTOWN BORO,11/21/2018,WE,1257,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,02,2,ROUTE 524,,524,,00000524__,7.26,05,,01,04,02,01,01,01,,,,,,,,,,25,,26,40.178650,74.582580,N,,82006
2018130218AT01579,MONMOUTH,ALLENTOWN BORO,11/23/2018,FR,2337,01,ALLENTOWN BORO PD,ALLENTOWN PD,0,0,0,0,P,B,Y,N,06,2,ROUTE 524,N,524,,00000524__,,05,,01,04,02,01,06,01,04,,,,,,,,,25,,26,,,N,,82031
2018130218AT01616,MONMOUTH,ALLENTOWN BORO,12/06/2018,TH,1705,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,05,2,ROUTE 526,,526,,00000526__,,05,,01,04,02,01,03,01,04,,,,,,,,,25,,26,40.178740,74.585260,N,,82006
2018130218AT01658,MONMOUTH,ALLENTOWN BORO,12/14/2018,FR,1735,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,02,2,ROUTE 526,E,526,,00000526__,,05,,01,04,02,02,03,05,04,,,,,,,,,25,,26,40.178250,74.585700,N,,82006
2018130218AT01672,MONMOUTH,ALLENTOWN BORO,12/16/2018,SU,1302,01,ALLENTOWN BORO PD,,0,1,0,0,I,I,N,N,03,2,MONMOUTH COUNTY 28,W,28,,13000028__,.66,05,,01,04,02,02,01,02,04,01,,AT,,ELLISDALE RD,,,,35,35,26,40.172740,74.596070,N,,82006
2018130218AT01674,MONMOUTH,ALLENTOWN BORO,12/16/2018,SU,1917,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,08,2,ROUTE 526,W,526,,00000526__,,05,,01,04,01,02,06,02,04,,,,,,,,,25,,26,,,N,,82031
2018130218AT01700,MONMOUTH,ALLENTOWN BORO,12/26/2018,WE,1448,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,01,3,ROUTE 526,E,526,,00000526__,10.17,05,,01,04,02,01,01,01,04,00,100,FE,W,GORDON ST,,,,25,25,26,40.181100,74.588880,N,,82030
2018130218AT01702,MONMOUTH,ALLENTOWN BORO,12/27/2018,TH,1846,01,ALLENTOWN BORO PD,,0,0,0,0,P,B,N,N,01,2,ROUTE 526,W,526,,00000526__,10.29,05,,01,04,02,01,06,01,04,,50,FE,W,PEARL ST,,,,25,25,26,,,N,,82029
20181302C060-2018-00309A,MONMOUTH,ALLENTOWN BORO,03/06/2018,TU,1258,02,NEW JERSEY STATE POLICE,HAMILTON-SUB -,0,2,0,0,I,B,N,N,01,2,ROUTE 524,W,524,,00000524__,6.80,05,,01,04,02,01,01,01,05,01,,,,,,,,50,,26,40.325890,74.258450,N,,7733
2018130318AP-29910,MONMOUTH,ASBURY PARK CITY,09/15/2018,SA,1854,01,ASBURY PARK PD,,0,1,0,0,I,B,N,N,01,2,OCEAN AVE,,,,13031088__,.17,07,,01,04,02,01,01,01,04,01,15,FE,N,SECOND AVE,,,,25,25,26,40.220410,74.000410,N,,83261
2018130318AP00107,MONMOUTH,ASBURY PARK CITY,01/02/2018,TU,1629,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,08,2,SPPRINGWOOD AVE,W,,,,,07,,01,04,02,01,01,01,05,01,,AT,,CR 40A,,,,25,30,,40.225630,74.010760,N,,83226
2018130318AP00177,MONMOUTH,ASBURY PARK CITY,01/03/2018,WE,1236,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,ATLANTIC AVE,E,,,,,07,,01,04,02,01,00,01,04,01,150,FE,E,UNION AVE,,,,25,,26,40.215950,74.018880,N,,83213
2018130318AP00320,MONMOUTH,ASBURY PARK CITY,01/05/2018,FR,1114,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,08,2,ATKINS AVE,E,,,,,07,,01,04,02,03,01,01,05,01,150,FE,N,BOSTON WAY AVENUE,,,,25,,28,40.214190,74.021160,N,,83213
2018130318AP00335,MONMOUTH,ASBURY PARK CITY,01/05/2018,FR,1513,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,PR ASBURY PARK TRANS CTR,,,,,,10,,01,04,02,03,01,03,05,,25,FE,N,SPRINGWOOD AVE,,,,15,25,,,,N,,83185
2018130318AP00423,MONMOUTH,ASBURY PARK CITY,01/06/2018,SA,1626,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,04,2,BANGS AVE,W,,,13031083__,.51,07,,01,05,02,03,01,01,04,,100,FE,W,LANGFORD STREET,,,,25,25,26,,,Y,,83185
2018130318AP00492,MONMOUTH,ASBURY PARK CITY,01/07/2018,SU,1058,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,03,2,NJ 71,N,71,,00000071__,8.89,02,,01,04,02,03,01,01,04,01,50,FE,S,6TH AVE,,,,30,,,40.228000,74.009060,N,,83228
2018130318AP00501,MONMOUTH,ASBURY PARK CITY,01/07/2018,SU,1238,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,MONROE AVENUE,E,,,,,07,,01,04,02,03,00,00,05,01,200,FE,W,PROSPECT AVENUE,,,,20,20,28,40.220960,74.021940,N,,83228
2018130318AP00532,MONMOUTH,ASBURY PARK CITY,01/07/2018,SU,1958,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,01,2,ATLANTIC AVE,E,,,,,07,,01,04,02,03,05,01,05,01,20,FE,E,ATKINS AVE,,,,25,25,26,,,N,,83265
2018130318AP00559,MONMOUTH,ASBURY PARK CITY,01/08/2018,MO,0833,01,ASBURY PARK PD,,0,0,0,0,P,I,N,N,01,2,BANGS AVE,E,,,13031083__,.03,07,,01,04,02,04,01,01,05,01,,AT,,RIDGE AVE,,,,25,25,26,40.219060,74.024990,N,,83221
2018130318AP00570,MONMOUTH,ASBURY PARK CITY,01/08/2018,MO,1027,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,FOURTH AVE,E,,,,,07,,01,04,02,03,00,03,05,01,40,FE,E,DUNLEWY ST,,,,25,25,26,40.226270,74.022670,N,,83221
2018130318AP00580,MONMOUTH,ASBURY PARK CITY,01/08/2018,MO,1128,01,ASBURY PARK PD,1 MUNICIPAL PLZ,0,0,0,0,P,B,N,N,06,2,FIRST AVENUE,E,,,,,07,,01,04,02,03,01,03,,,200,FE,E,HECK STREET,,,,25,25,28,40.220140,74.005370,N,,83243
2018130318AP00604,MONMOUTH,ASBURY PARK CITY,01/08/2018,MO,1546,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,MONMOUTH COUNTY 40 A,,40,A,13000040A_,.29,05,,01,04,02,02,01,01,04,01,100,FE,W,SPRINGWOOD AVE,,,,20,20,26,40.215140,74.015070,N,,83228
2018130318AP00612,MONMOUTH,ASBURY PARK CITY,01/08/2018,MO,1703,01,ASBURY PARK PD,,0,0,0,0,P,B,N,N,06,2,NJ 71,,71,,00000071__,8.13,02,,01,04,02,02,06,02,04,,50,FE,S,BANGS AVE,,,,30,25,26,,,N,,83248
